BUSAGE,BUSTYPE,MAXLINEUTIL,DAYSDELQ,TOTACBAL,DEFAULT,NoExist,NoExist2,NoExist3
183,B,0,0,0.24,N
271,E,0,0,1.37,N
51,A,0,0,1.52,N
208,A,0,0,1.64,N
148,A,0,0,1.78,N
82,D,0,0,1.88,N
12,A,0,0,2.21,N
41,A,0,0,3.11,N
65,B,0,0,3.25,N
111,A,,0,3.44,N
49,D,0,0,3.49,N
46,B,0,0,3.83,N
73,A,0.0001,0,3.85,N
73,A,0,0,3.9,N
24,A,0,0,4.58,N
82,B,0.0001,0,4.67,N
56,C,0,0,4.73,N
195,C,0,0,4.78,N
27,A,0,0,5,N
92,C,0,0,5.04,N
39,A,0,0,5.17,N
36,A,0,0,5.26,N
69,A,0,0,5.46,N
38,A,0,0,5.52,N
13,B,,0,5.71,N
146,B,0,0,5.75,N
92,B,0,0,5.79,N
32,B,0,0,5.9,N
222,A,0.0001,0,6.02,N
213,C,0.0001,0,6.03,N
12,D,0.0001,0,6.17,N
24,D,0,0,6.33,N
220,B,0.0001,0,6.9,N
24,A,0,0,6.95,N
56,D,0,0,7.21,N
52,B,0,0,7.39,N
76,A,0.0001,0,7.97,N
96,B,0,0,7.99,N
12,B,0,0,8,N
135,A,0.0005,0,8.14,N
231,A,0,0,8.66,N
48,B,0,0,8.73,N
70,D,0,0,9.21,N
36,A,0.0009,0,9.83,N
101,A,0,0,10.31,N
144,A,0.0002,0,10.37,N
133,A,0.0002,0,10.57,N
12,A,0.0017,0,10.65,N
12,A,0,0,11.01,N
36,D,0.0001,0,11.16,N
50,A,0,0,11.53,N
353,B,0.0001,0,11.58,Y
14,A,0.0006,0,12.14,N
140,A,0,0,12.72,N
64,A,0,0,13.12,N
78,A,0,0,13.34,N
149,A,0,0,13.76,Y
71,A,0,0,14.04,N
13,D,0,0,14.15,N
12,A,0,0,14.75,N
284,A,0,0,15,N
58,C,0,0,15.03,N
44,A,0.0007,0,15.21,N
38,B,0,0,15.79,N
44,A,0,0,15.88,N
23,C,0.0003,0,16,Y
77,A,,11,17.86,Y
121,D,0,0,18.2,Y
123,D,0.0012,0,18.34,N
32,A,0,0,18.38,Y
,A,0.0012,0,18.82,N
43,A,0,0,18.97,N
12,A,0,0,19.02,N
110,A,0,0,19.25,N
48,A,0.0002,0,19.31,Y
120,A,0,0,19.5,N
199,A,0,0,19.52,N
41,A,0,0,19.6,N
101,D,0,0,19.62,N
56,B,0,0,19.72,N
51,A,0,0,19.79,Y
38,D,0.002,0,20.33,N
51,B,0,0,20.36,N
95,B,0,0,20.66,N
80,C,0.0028,0,20.88,N
490,A,0,0,20.89,N
28,A,0,0,21.1,N
72,D,0,0,21.19,N
251,A,0,0,21.47,N
21,B,0,0,21.74,N
